NOMBRE*;TIPO;ESTILO;GRADO;IBU;LANZAMIENTO;ESTADO;PAÍS;URL;PRODUCTOR
Trappistes Rochefort 8;Strong Ale;Belgian Dark Strong Ale;9,20;22;;Activa;Bélgica;;Brasserie de Rochefort
Brewdog Punk IPA;Indian Pale Ale;American IPA;5,20;35;2007;Activa;Escocia;;BrewDog
Camden Pale Ale;Pale Ale;American Pale Ale;4,00;38;;Activa;Inglaterra;;Camden Town Brewery
Einstök Icelandic Toasted Porter;Porter;Baltic Porter;6,00;;;Activa;Islandia;;Einstök Ölgerð
Hoegaarden De Verboden Vrucht / Le Fruit Défendu;Strong Ale;Belgian Dark Strong Ale;8,50;25;;Activa;Bélgica;;Hoegaarden
Turia Märzen;Dark Lager;Märzen;5,40;24;1935;Activa;España;www.cervezaturia.es;Damm
Weihenstephaner Hefeweissbier;Wheat Beer;Hefeweizen;5,40;14;;Activa;Alemania;;Bayerische Staatsbrauerei Weihenstephan
Hertog Jan Tripel;Strong Ale;Tripel;8,50;22;;Activa;Países Bajos;;Hertog Jan Brouwerij
OXIT Blonde;Pale Ale;Bière de Garde;5,00;25;;Activa;Francia;;Brasserie OXIT
Ginette Bio Lager;Pale Lager;European Pale Lager;4,50;25;;Activa;Bélgica;;Brasserie La Binchoise
312 Urban Wheat;Wheat Beer;American Pale Wheat Beer;4,20;18;2012;Activa;Estados Unidos;;Goose Island Beer
Modelo Especial;Pale Lager;American Adjunt Lager;4,40;18;1966;Activa;México;;Grupo Modelo
Especialidades 1897 Gran Reserva;Pale Lager;European Strong Lager;7,90;;;Activa;España;;Mercadona
Hélécine Brune;Dark Lager;Dubbel;6,00;14;1130;Activa;Bélgica;;Brasserie Val De Sambre
Alhambra Barrica Ron Granadino;Pale Lager;European Strong Lager;6,00;;2019;Activa;España;;Cervezas Alhambra
Old Empire IPA;Indian Pale Ale;English IPA;5,70;35;2003;Activa;Inglaterra;;Marston's Brewery
Alhambra Reserva Roja;Bock;Doppelbock;7,20;15;2016;Activa;España;;Cervezas Alhambra
Ambar IPA;Indian Pale Ale;American IPA;5,70;45;2018;Activa;España;;Cervezas Ambar
Carrefour Sensation Reserva;Pale Lager;Imperial Pilsner;6,50;;2020;Activa;España;www.carrefour.es;La Sagra
Pilsener;Pale Lager;German Pilsner;4,00;;1913;Activa;Ecuador;;Cervecería Nacional Ecuador
Hatherwood Ginger Grizzly;Specialty Beer;Herb and Spice Beer;4,00;;;Activa;Inglaterra;www.lidl.es;Wychwood Brewery
Riedenburger Hefe-Weizen Hell;Wheat Beer;Hefeweizen;5,10;10;;Activa;Alemania;;Riedenburger Brauhaus
Monkey Mr. Pink;Indian Pale Ale;American IPA;5,90;50;;Activa;España;;Cervezas Monkey
NÓS Fox IPA;Indian Pale Ale;English IPA;6,60;42;;Activa;España;;Cervexa NÓS
Domus Aurea;Indian Pale Ale;American IPA;5,40;30;;Activa;España;;Cervezas Domus
Maisel & Friends IPA;Indian Pale Ale;American IPA;6,30;50;;Activa;Alemania;www.maiselandfriends.com;Brauerei Gebr. Maisel
Crafted for Lidl - Eureka Lager;Pale Lager;European Pale Lager;4,50;;2021;Activa;Alemania;www.lidl.es;Lidl
Crafted for Lidl - Warrior;Indian Pale Ale;English IPA;6,00;;2021;Activa;Hungría;www.lidl.es;Lidl
Guineu Dr. Calypso;Pale Ale;American Pale Ale;5,20;35;;Activa;España;;Cervesa Guineu
Tyris IPA;Indian Pale Ale;English IPA;6,00;50;2018;Activa;España;;Cerveza Tyris
La Socarrada;Specialty Beer;Herb and Spice Beer;6,00;20;2010;Activa;España;;Cervezas La Socarrada
Cerdos Voladores;Indian Pale Ale;American IPA;6,00;65;;Activa;España;;Barcelona Beer Company
Maredsous Brune;Dark Lager;Dubbel;8,00;24;;Activa;Bélgica;www.maredsousbieres.be;Abbaye de Maredsous 
Veltins Pilsener;Pale Lager;German Pilsner;4,80;30;1824;Activa;Alemania;;C. & A. Veltins
Cobra Premium;Pale Lager;European Pale Lager;4,50;17;1989;Activa;Inglaterra;;Cobra
Chérie À La Framboise;Specialty Beer;Fruit and Field Beer ;3,50;8;;Activa;Bélgica;;Brasserie Val De Sambre
Vedett Extra White;Wheat Beer;Witbier;4,70;4;;Activa;Bélgica;www.vedett.com;Brouwerij Duvel Moortgat
Lindemans Faro;Wild/Sour Beer;Faro;4,50;12;1978;Activa;Bélgica;;Lindemans
Schöfferhofer Hefeweizen Dunkel;Wheat Beer;Dunkelweizen;5,00;;;Activa;Alemania;;Binding Brauerei
Tripel Karmeliet;Strong Ale;Tripel;8,40;16;1996;Activa;Bélgica;;Brouwerij Bosteels
Abbaye D'Aulne Ambrée;Pale Ale;Belgian Pale Ale;6,00;19;;Activa;Bélgica;;Brasserie Val De Sambre
Abbaye D'Aulne Brune;Brown Ale;Belgian Dark Ale;6,00;14;;Activa;Bélgica;;Brasserie Val De Sambre
Abbaye D'Aulne Cuvée Royale;Strong Ale;Quadrupel;9,00;15;;Activa;Bélgica;;Brasserie Val De Sambre
New Yorker Fine Lager;Pale Lager;European Pale Lager;4,20;12;;Activa;Italia;www.newyorkerbeer.com;D&P Europe
15&30 IPA;Indian Pale Ale;English IPA;5,00;55;;Activa;España;;Sherry Beer
Polar Pilsen;Pale Lager;European Pale Lager;4,50;;1941;Activa;Venezuela;;Cervecería Polar
Ginger Beard;Specialty Beer;Herb and Spice Beer;4,20;;;Activa;Inglaterra;;Wychwood Brewery
The Crafty Brewing Company Irish Pale Ale ;Pale Ale;English Pale Ale;4,50;38;;Activa;Irlanda;;Rye River Brewing Company
Primátor Premium;Pale Lager;Bohemian / Czech Pilsner;5,00;24;;Activa;República Checa;;Primátor
Abbaye D'Aulne Premier Cru;Strong Ale;Tripel;9,00;20;;Activa;Bélgica;;Brasserie Val De Sambre
Duvel;Strong Ale;Belgian Pale Strong Ale;8,50;33;1931;Activa;Bélgica;www.duvel.com;Brouwerij Duvel Moortgat
Primátor Weizen;Wheat Beer;Hefeweizen;5,00;14;;Activa;República Checa;;Primátor
Super Bock Abadia;Dark Lager;American Amber / Red Lager;6,40;13;;Activa;Portugal;;Super Bock
1906 Galician Irish Red Ale;Pale Ale;Irish Red Ale;5,00;27;2020;Activa;España;;Cervezas 1906
Chouffe Blanche;Wheat Beer;Witbier;6,50;17;;Activa;Bélgica;;Brasserie d'Achouffe
Duvel 6.66%;Pale Ale;Belgian Blonde Ale;6,66;20;2021;Activa;Bélgica;www.duvel.com;Brouwerij Duvel Moortgat
Kwak;Strong Ale;Belgian Pale Strong Ale;8,40;20;1980;Activa;Bélgica;;Brouwerij Bosteels
Gulden Draak Classic;Strong Ale;Belgian Dark Strong Ale;10,50;30;1986;Activa;Bélgica;www.guldendraak.be;Brouwerij Van Steenberge
Estrella Damm;Pale Lager;European Pale Lager;5,40;26;1876;Activa;España;;Damm
Desperados Strawberry Margarita;Specialty Beer;Fruit and Field Beer ;3,00;;;Activa;Polonia;www.desperados.com;Zywiec Brewery
Coors Light;Pale Lager;Light Lager;4,00;10;1978;Activa;Estados Unidos;;Coors Brewing Company
Tap 6: Mein Aventinus;Bock;Weizenbock;8,20;16;1907;Activa;Alemania;;G. Schneider & Sohn
Weltenburger Kloster Anno 1050;Dark Lager;Märzen;5,50;24;;Activa;Alemania;;Klosterbrauerei Weltenburg
Maredsous Blond;Pale Ale;Belgian Blonde Ale;6,50;;;Activa;Bélgica;www.maredsousbieres.be;Abbaye de Maredsous 
Brewdog Dead Pony Club;Pale Ale;American Pale Ale;3,80;35;2012;Activa;Escocia;;BrewDog
Brugse Zot Blond;Pale Ale;Belgian Pale Ale;6,00;23;;Activa;Bélgica;www.brugsezot.be;De Halve Maan
Super Bock Stout;Dark Lager;European Dark Lager;5,00;17;2003;Activa;Portugal;;Super Bock
18/70 La Rubia;Pale Lager;European Strong Lager;6,20;;2019;Activa;España;dieciochosetenta.com;Cruzcampo
Schöfferhofer Grapefruit Hefeweizen;Wheat Beer;Hefeweizen;2,50;;;Activa;Alemania;;Binding Brauerei
Chula IPA;Indian Pale Ale;English IPA;6,50;70;;Activa;España;www.cervezaschula.com;Cervezas Villa de Madrid
Karlsbräu Helles;Pale Lager;Helles;5,00;17;;Activa;Alemania;;Karlsberg / Karlsbräu
Karlsbräu Kellerbier;Pale Lager;Kellerbier;5,20;23;;Activa;Alemania;;Karlsberg / Karlsbräu
Victoria Málaga;Pale Lager;European Pale Lager;4,80;25;1928;Activa;España;;Cervezas Victoria
Ambar 10;Pale Lager;European Strong Lager;10,00;;2013;Activa;España;;Cervezas Ambar
Moritz Barcelona;Pale Lager;European Pale Lager;5,40;;1856;Activa;España;;Moritz
Oliba Green Beer;Specialty Beer;Fruit and Field Beer ;5,00;;2020;Activa;España;olibagreenbeer.com;Click&Brew
Slash IPA;Indian Pale Ale;American IPA;5,90;;2020;Activa;Francia;;Brasserie Licorne
Slash Red;Specialty Beer;Fruit and Field Beer ;8,00;;2020;Activa;Francia;;Brasserie Licorne
La Estrella de Galicia;Pale Lager;German Pilsner;4,70;25;2017;Activa;España;;Estrella Galicia
Estrella Galicia Especial;Pale Lager;European Pale Lager;5,50;25;1972;Activa;España;;Estrella Galicia
Rosita Original;Pale Ale;American Blonde Ale;5,50;8;2007;Activa;España;www.rosita.beer;Cerveses La Gardènia-Rosita
The One IPA Americana;Indian Pale Ale;American IPA;5,00;;;Activa;España;;The One Beer
Moritz Red IPA;Dark Lager;American Amber / Red Lager;5,40;50;2017;Activa;España;;Moritz
15&30 Pilsner;Pale Lager;German Pilsner;4,80;25;2021;Activa;España;;Sherry Beer
The Crafty Brewing Company Irish Lager;Pale Lager;European Pale Lager;5,00;33;;Activa;Irlanda;;Rye River Brewing Company
Greene King IPA;Indian Pale Ale;English IPA;3,60;;;Activa;Inglaterra;;Greene King
Zerep Rubia;Pale Lager;European Pale Lager;5,50;;2013;Activa;España;;Zerep Carbónicas y Aguas S.A.
Zerep Tostada;Dark Lager;American Amber / Red Lager;6,50;;2013;Activa;España;;Zerep Carbónicas y Aguas S.A.
Mahou Negra;Dark Lager;Munich Dunkel;5,50;;1908;Retirada;España;;Mahou
Grimbergen Optimo Bruno;Strong Ale;Quadrupel;10,00;20;;Activa;Bélgica;www.grimbergenbeer.com;Alken-Maes
Coors Gold;Pale Lager;American Adjunt Lager;5,00;;;Activa;Estados Unidos;;Coors Brewing Company
Bischofshof Hefe-Weissbier Hell;Wheat Beer;Hefeweizen;5,10;;;Activa;Alemania;;Brauerei Bischofshof
1906 Black Coupage;Dark Lager;Munich Dunkel;7,20;27;2014;Activa;España;;Cervezas 1906
Alhambra Tradicional;Pale Lager;German Pilsner;4,60;;;Activa;España;;Cervezas Alhambra
Brutus The Beer;Pale Lager;American Lager;5,00;;2016;Activa;España;www.brutusthebeer.com;Mahou
Heineken Silver;Pale Lager;European Pale Lager;4,00;9;2022;Activa;Países Bajos;www.heineken.com;Heineken International
Mc Chouffe;Brown Ale;Belgian Dark Ale;8,00;20;1987;Activa;Bélgica;;Brasserie d'Achouffe
Estrella de Navidad;Pale Lager;European Pale Lager;5,50;22;2016;Activa;España;;Estrella Galicia
Peroni Gran Riserva Doppio Malto;Bock;Maibock;6,60;;1996;Activa;Italia;;Birra Peroni
Vikingathor Boris Brew;Dark Lager;Munich Dunkel;8,20;75;2016;Activa;España;;Cerveza SanFrutos
Pólvora Blue;Pale Ale;English Pale Ale;4,50;7;2018;Activa;España;;Cervezas Mascletà
Mascletà;Pale Ale;American Blonde Ale;5,80;17;2018;Activa;España;;Cervezas Mascletà
Grimbergen Blanche;Wheat Beer;Witbier;6,00;13;;Activa;Bélgica;www.grimbergenbeer.com;Alken-Maes
Ambar Especial;Pale Lager;American Adjunt Lager;5,20;;;Activa;España;;Cervezas Ambar
Schöfferhofer Hefeweizen;Wheat Beer;Hefeweizen;5,00;14;;Activa;Alemania;;Binding Brauerei
Hofbräu Original;Pale Lager;Helles;5,10;24;1589;Activa;Alemania;;Hofbräu München
Nastro Azzurro;Pale Lager;European Pale Lager;5,10;24;1963;Activa;Italia;www.nastroazzurro.it;Birra Peroni
König Ludwig Weissbier Naturtrüb;Wheat Beer;Hefeweizen;5,50;15;;Activa;Alemania;;König Ludwig Brauerei
Leffe Blonde;Pale Ale;Belgian Blonde Ale;6,60;20;;Activa;Bélgica;;Abbaye de Leffe
Leffe Brune;Brown Ale;Belgian Dark Ale;6,50;20;;Activa;Bélgica;;Abbaye de Leffe
Praga Premium Pils;Pale Lager;Bohemian / Czech Pilsner;4,70;25;2004;Activa;República Checa;;Praga Brewing Group
Argus Suave;Pale Lager;European Pale Lager;4,50;;;Activa;España;argus.es;Font Salem
El Alcázar;Pale Lager;European Pale Lager;6,00;;1928;Activa;España;;Cervezas Alcázar de Jaén
Alhambra Lager Singular;Pale Lager;European Pale Lager;5,40;;2021;Activa;España;;Cervezas Alhambra
Ambar Morena;Dark Lager;American Amber / Red Lager;5,50;;2023;Activa;España;;Cervezas Ambar
Cerex Pilsen;Pale Lager;German Pilsner;5,00;12;2015;Activa;España;;Cerex Brewing
Stark Especial;Pale Lager;European Pale Lager;5,60;;2016;Retirada;España;;Mercadona
Bombardier Amber Beer;Pale Ale;English Bitter;4,70;35;1980;Activa;Inglaterra;www.bombardier.co.uk;Eagle Brewery
Patronus Premium Weissbier;Wheat Beer;Hefeweizen;5,00;12;;Activa;Alemania;;Lidl
Bernabeu Madrid;Pale Lager;European Pale Lager;5,00;;2022;Activa;España;cervezasbernabeu.es;Grupo Badbeers
Caletera Tostada;Pale Ale;Irish Red Ale;5,30;;;Activa;España;caletera.com;MCJ Cerveceros Portuenses
San Miguel Eco;Pale Lager;European Pale Lager;4,20;;2003;Activa;España;;San Miguel
Tsingtao;Pale Lager;American Adjunt Lager;4,70;25;1903;Activa;China;;Tsingtao Brewery
Monastère Blond;Pale Ale;Belgian Blonde Ale;6,50;;2012;Activa;Francia;www.monastere.com;United Dutch Breweries
IPA4;Indian Pale Ale;American IPA;6,40;60;2015;Activa;España;;Dougalls
Perkins Cerveza Rubia;Pale Lager;European Pale Lager;5,50;;2021;Activa;España;;Perkins
Desperados Red;Specialty Beer;Fruit and Field Beer ;5,90;;2014;Activa;Francia;www.desperados.com;Brasserie Fischer
